Día	Punchaw
Mes	Killa
Sol	Inti
Ver	Rikuy
Ropa	Pacha
Luna	Killa
Nube	Puyu
Leer	Ñawinchay
Leer	Likay
Tarde	Suka
Venir	Hamuy
Mirar	Qaway
Noche	Tuta
Zorro	Atuq
Lunes	Killachay punchaw
Contar	Willay
Avisar	Willay
Hablar	Rimay
Contar	Yupay
Martes	Antichay punchaw
Lluvia	Para
Viento	Wayra
Tiempo	Pacha
Tierra	Pacha
Jueves	Illapachay punchaw
Sábado	Kuychichay punchaw
Neblina	Puyu
Domingo	Intichay punchaw
Viernes	Chaskachay punchaw
Profesor	Yachachiq
Estrella	Chaska
Escribir	Qillqay
Trabajar	Llamkay
Conversar	Parlay
Miércoles	Qurlluychay punchaw
Profesora	Yachachiq
Ejercicios	Ruwanapaq
Abecedario	Achahala
Bienvenidos	Allin Hamuy
Estudiantes	Yachaqkuna
Yo soy Saywa.	Ñuqa Saywam kani.
Yo soy Esther.	Ñuqa Esthermi kani.
Yo soy Victor.	Ñuqa Victormi Kani.
Yo soy Lucero.	Ñuqa Lucerom kani.
Nos conocemos.	Riqsikusunchik.
¡Hasta mañana!	Paqarinkama
¡Hasta otro día!	Huk punchawkama
¡Hasta otra vez!	Huk Kutikama
¡Hasta encontrarnos!	Tupananchikkama
¡Hasta otra oportunidad!	Huk Kutikama
¡No olvides lo aprendido!	Ama qunqankichu yachasqaykita
Yo trabajo de lunes a viernes.	Ñuqa llamkani Lunesmanta Vierneskama.
¡Gracias a todos por participar!	Añay llipiykichikta ayninakusqaykisimanta
Mesa	Hampara
Nevada	Lasta
Manta	Lliklla
Libro	Maytu
Candela	Nina
Camino	Ñam
Plata	Qullqi
Dinero	Qullqi
Piedra	Rumi
Árbol	Sacha
Silla	Tiyana
Ratón	Ukucha
Bebé	Wawa
Agua	Yaku
Grande	Hatun
Mirar	Qaway
Cuando conoces a una persona.	Qam riksinki huk runataqa.
Saludos	Napaykuna
Preguntamos	Tapuychik
Respondemos	Kutiychuk
Hola	Allinllachu
¿Estás bien?	Allinllachu
Estoy bien	Allinllam
¿Cómo estás?	Imaynallam
¿Estás bien?	Sumaqllachu
Estoy bien	Sumaqllam
Cuando no conoces a una persona.	Mana riksinkichu huk runataqa
¿Cómo estás Flora?	Imaynallam kachkanki Flora?
Estoy bien Alberto.	Allinllam kachkani Alberto.
¡Buenos días!	Allin punchaw
¡Buenas tardes!	Allin suka
¡Buenas noches!	Allin tuta
Para despedirse	Rakinakunanpaq
¡Hasta encontrarnos!	Tupananchikkama
¡Hasta otro día!	Huk punchawkama
¡Hasta mañana!	Paqarinkama
¡Hasta el Lunes!	Luneskama
Trabajaré hasta el día Viernes.	Viernes punchawkama llamkasaq.
Contaré hasta el cien.	Pachakkama yupasaq.
Escribiré hasta la noche.	Tutakama qillqasaq.
Vengo de Cusco.	Cuscomanta hamuni.
Trabajaré desde el Lunes.	Lunesmanta llamkasaq.
Esta chirimoya es de Apurímac.	Kay chimimuyaqa Apurímacmanta.
Trabajaré hasta el día Viernes.	Viernes punchawkama llamkasaqmi.
Vengo de Cusco.	Cuscomanta hamunim.
Esta chirimoya es de Apurímac.	Kay chimimuyaqa Apurímacmantam.
Contaré hasta el cien.	Pachakkama yupasaqmi.
Escribiré hasta la noche.	Tutakama qillqasaqmi.
Yo soy Yaritza.	Ñuqa Yaritzam kani.
Yo soy del pueblo de Abancay, de la región Apurímac.	Ñuqa Abancay llaqta, Apurímac suyumantam kani.
Conozcamos más vocabulario.	Astawan vocabulario yachasun.
¡Gracias!	Sulpayki
¡Gracias!	Yupaychayki
¡Gracias!	Añay
Por favor	Ama hina kaspa
¿Qué significa?	Ima ninantaq?
Yo quiero saber.	Ñuqa yachayta munani.
Adornemos nuestra escuela.	Yachay wasinchikta achalasun.
Adornemos con hojitas de begonia.	Achanqaray rapichawan achalasun.
Ya llegó el amanecer.	Achikyay chayarqamunña.
Hemos amanecido tranquilos.	Hawkallam achikyaniku.
La comadreja ya está exterminando a los pollitos de la gente.	Runapa chiwchintam achuqalla tukurquchkanña.
Él o ella prepara ají de caigua.	Payqa achuqcha uchuchata ruran.
Niño, tienes que ir a comprar achiote.	Achuwiti rantiqmi, warma, rinki.
El excremento huele horrible.	Akaqa millaytam asnan.
Cuando se come harta tuna, no se debe consumir cancha, pues puede estreñirnos.	Achka tunasta mikuspaqa manam hamkata mikunachu, aka kichkim hapikun.
Estás cavando en la roca como el pito.	Akaklluhinam qaqata tuquchkanki.
No hagas rodar el excremento como el escarabajo.	Ama akatanqahina akata kurpachiychu.
No se debe defecar en la puerta de la casa.	Manam wasi punkupiqa akanachu.
En la noche se debe comer con luz.	Tutanqa akchiwanmi mikuna.
Qué bonita está esa mujer escogida.	Wak akllaqa sumaqcham kachkan.
Marcos, escoge la papa.	Papata akllay, Markuscha.
Iremos a escarbar la oca.	Uqa allaqmi risaqku.
Amistémonos con nuestro enemigo.	Awqanchikwan allimpasun.
La mayoría de la gente come con la mano derecha.	Alliq makiwanmi yaqa lliw runakuna mikunchik.
Los derechos del hombre son ignorados.	Runakunapa alliqninqa yarupasqam.
No crecería ningún árbol si no hubiera tierra.	Allpa mana kaptinqa, manayá ima sachapas wiñanmanchu.
Los que están vestidos de blanco y negro están jugando.	Allqa pachayuqkuna pukllachkanku.
¡Qué hermoso!	Achalay
Adornar	Achalay
Hermosear	Achalay
Begonia	Achanqaray
Amanecer	Achikyay
Comadreja	Achuqalla
Caigua	Achuqcha
Achiote	Achuwiti
Heces	Aka
Excremento	Aka
Estreñimiento	Aka kichki
Pito	Akakllu
Escarabajo	Aka tanqa
Cagar	Akay
Defecar	Akay
Luz	Akchi
Claridad	Akchi
Mujer escogida	Aklla
Virgen	Aklla
Escoger	Akllay
Seleccionar	Akllay
Escarbar	Allay
Cosechar tubérculos	Allay
Amistar	Allimpay
Derecha	Alliq
Derecho	Alliq
Tierra	Allpa
Blanquinegro	Allqa
Perro	Allqu
Al perro se le cría para que cuide la casa.	Allqutaqa wasi qawananpaqmi uywanku.
Urdidera	Allwina
Herramienta para la urdimbre	Allwina
Esta urdidera se había roto.	Kay allwinaqa pakikurqusqam.
Arvejas	Alwirha
Preparen un picante de arvejas.	Alwirhas pikantita yanukurquychik.
Separar	Amachay
Apaciguar	Amachay
Defender	Amachay
Apagar el fuego	Amachay
Separan a los perros que se pelean.	Allqu maqanakuqta amachanku.
Anita apaga la candela.	Anacha ninata amachan.
Nodriza	Amani
Estoy buscado a la nodriza de mi hijo.	Wawaypa amaninta maskachkani.
Estoy buscado a la nodriza de mi hija.	Wawaypa amaninta maskachkani.
Serpiente	Amaru
La serpiente es venenosa, no nos debemos acercar.	Amaruqa wañuchiq hampiyuqmi, amam asuykunachu.
Prohibir	Amatay
Impedir	Amatay
Vedar	Amatay
No permitas que alguien te golpee, impídelo.	Ama piwanpas maqachikuychu, amatakuy.
Mudo	Amu
Sordomudo	Amu
No se debe avergonzar al niño mudo.	Amu warmataqa manam pinqachinachu.
Retener algo en la boca.	Amuy.
Para el dolor de muelas es bueno retener en la boca agua con sal.	Kiru nanaypaqqa kachi yakutam amuna.
Luciérnaga	Anchaq
La luciérnaga es un insecto luminoso.	Anchaq kurum pinchi killa.
Suspirar	Anchiy
¿Por qué suspiras?	¿Imamantam anchinki?
Gavilán	Anka
El gavilán ladrón se llevó a mi pollito.	Suwa ankam chiwchichayta aparqun.
Tendón	Anku
La carne de animales viejos es muy dura.	Machu uywakunapa aychanqa anku ankum.
Me está doliendo el tendón.	Ankuy nanawachkan.
Azul	Anqas
Habían roto un pantalón azul.	Anqas waratam llikisqaku.
Cobre	Anta
Celaje	Anta
Mi padre trabaja en la mina de cobre.	Taytayqa anta minapim llamkan
Cuando aparece el celaje significa que habrá hambruna.	Anta rikukuptinqa, muchuymi kanqa.
Zampoña	Antara
La zampoña suena triste.	Antaraqa llakitam waqan.
Ladrar	Anyay
Reprender	Anyay
El perro está ladrando al ladrón.	Allqum suwata anyachkan.
Zorrino	Añas
Zorrillo	Añas
El zorrino se defiende con su orina.	Añas ispayninwan amachakun.
Agradecimiento	Añaychay
Gratitud	Añaychay
Si alguien te ayuda, agradécele.	Pipas yanapasuptiykiqa, añaychakuy.
Apacheta	Apachita
Abra	Apachita
Llegando al abra los caminates dejan piedras.	Apachitaman chayaspanku puriqkuna rumichata churaykunku.
Araña grande.	Apanqura.
Esa araña grande no pica.	Wak apanquraqa manam kachukunchu.
Tarántula	Apasankay
Si te picara la tarántula puede darte inflamación.	Apasankay kachusuptiykiqa punkipakuwaqmi.
Llevar	Apay
Lleva a la escuela tu fiambre.	Yachay wasiman quqawniykita apay.
Avispa	Apaychakcha
Las avispas construyen sus casas en las paredes de tierra.	Apaychakchaqa allpa pirqakunapi wasichakun.
Mazamorra	Api
